rs,Rep,SHL,RDW,SDW,TPB,TRL,TSRL,TNR,NWA,PRL,PC1,PC2,PC3
id152,2,25.7,0.066133333,0.088066667,0.1542,579.3133,540.09,28,3.42,39.2267,139.7562226,44.28092416,5.569228539
id153,2,7.55,0.0452,0.037,0.0822,91.2,77.95,9.5,0.415,13.2500,112.5964895,23.60621013,-6.895662065
id154,2,25.06666667,0.0554,0.075466667,0.130866667,473.68,435.83,23.3333,2.8733,37.8433,-125.8138134,37.71067976,1.422923936
id155,2,23.1,0.0352,0.0648,0.1,237.015,206.255,13.5,1.425,30.7600,102.412242,17.12443124,5.289412662
id156,2,23.83333333,0.0597,0.0703,0.13,248.3033,215.1667,12.6667,1.4067,33.1400,117.4206515,24.82416001,-9.845730938
id157,2,23.46666667,0.059533333,0.067133333,0.126666667,434.62,399.2933,24.6667,2.6233,35.3267,128.9740115,35.01325265,0.293221722
id158,2,13.66666667,0.0552,0.0434,0.0986,268.15,234.7167,9.3333,1.1433,33.4333,-52.31196311,-45.2020804,-5.005230745
id159,2,21.7,0.067933333,0.069933333,0.137866667,255.9067,218.8267,11.6667,1.4133,37.0800,-116.2158692,35.4026066,1.059698759
id160,2,28.76666667,0.073166667,0.108833333,0.182,488.9467,447.4333,23.3333,2.9033,41.5133,96.4096244,12.88543949,12.26331401
id161,2,20.1,0.080966667,0.0792,0.160166667,391.5767,351.9233,17.6667,2.3333,39.6533,-141.6256058,59.76858307,2.240837081
id162,2,27.9,0.0565,0.073666667,0.130166667,407.4767,368.79,21.3333,2.4533,38.6833,-108.5463917,26.48005121,-0.972196148
id163,2,19.9,0.0589,0.053966667,0.112866667,326.9167,293.8333,18.6667,1.9867,33.0800,113.1162423,23.08305913,-5.495476424
id164,2,21.4,0.080733333,0.078566667,0.1593,313.0167,276.8033,17.3333,1.8367,36.2133,93.25576547,10.45773215,15.92219147
id165,2,23.26666667,0.0606,0.064066667,0.124666667,353.08,320.7867,19.6667,2.1233,32.2933,103.6152975,13.63003106,-7.314901329
id166,2,25.06666667,0.077666667,0.081966667,0.159633333,570.7467,530.02,28.3333,3.43,40.7300,-130.9410911,44.22227479,2.12745043
id167,2,28.33333333,0.052,0.066266667,0.118266667,356.4433,323.5633,20,2.1467,32.8833,51.91699543,-29.56230032,-32.94298468
id168,2,14.16666667,0.0327,0.042566667,0.075266667,140.8867,114.5367,10.3333,0.84,26.3467,106.2044937,19.32588929,10.86831326
id169,2,14.5,0.056666667,0.064466667,0.121133333,384.9567,343.5533,17.6667,2.3433,41.4067,-113.8761277,30.73983062,4.734727896
id170,2,17.13333333,0.0385,0.033,0.0715,70.1167,53.0367,7.3333,0.41,17.0800,-110.1899705,25.03761854,-2.053591579
id171,2,22.8,0.069466667,0.0769,0.146366667,435.33,397.06,23,2.64,38.2733,113.1966214,28.16014392,7.204171127
id172,2,14.03333333,0.045766667,0.0437,0.089466667,248.21,206.4667,10.3333,1.4167,41.7433,117.845062,26.28227569,11.8619728
id173,2,16,0.03145,0.05675,0.0882,155.14,125.03,9,0.9,30.1100,-71.61238611,-18.56321322,-1.932926789
id174,2,18.2,0.052066667,0.067266667,0.119333333,223.7,185.27,10.3333,1.2067,38.4300,-105.9789071,17.74756772,5.053125498
id175,2,16.83333333,0.0647,0.050666667,0.115366667,271.9067,233.45,13.3333,1.5667,38.4600,84.46549604,0.937811896,-2.324715671
id176,2,18.53333333,0.0348,0.0412,0.076,266.7,229.4067,12.3333,1.6,37.2900,101.6195578,12.94486226,-15.29406902
id177,2,22.23333333,0.050766667,0.060666667,0.111433333,310.46,277.19,16,1.86,33.2700,109.1270518,17.147996,-20.45425223
id178,2,23.6,0.060833333,0.084166667,0.145,354.61,313.02,16.3333,2.15,41.5933,-164.5811631,-158.0940912,48.40612254
id179,2,19.8,0.072433333,0.080566667,0.153,384.3367,342.1567,16,2.0967,42.1800,-129.5427051,44.77181844,6.833018092
id180,2,21.03333333,0.059666667,0.073933333,0.1336,356.1033,315.7767,16,2.1033,40.3267,-107.8845144,26.99009781,-7.99541035
id181,2,15.66666667,0.0719,0.043766667,0.115666667,238.38,209.9567,12.3333,1.34,28.4233,90.33893339,-177.6360705,50.73259481
id182,2,15.83333333,0.042666667,0.035566667,0.078233333,285.43,253.03,13.6667,1.72,32.4000,100.303724,16.46851583,8.827727367
id183,2,26.96666667,0.073533333,0.073733333,0.147266667,327.8,291.1367,16.6667,1.93,36.6633,-112.3863972,21.48634782,-1.835477218
id184,2,24.16666667,0.0988,0.068266667,0.167066667,435.45,400.24,22,2.6,35.2100,-126.2906243,43.64030633,0.119903134
id185,2,19.53333333,0.053466667,0.053866667,0.107333333,135.22,111.1633,7.6667,0.7,24.0567,-97.62427099,9.582225127,-0.976655617
id186,2,14.26666667,0.047833333,0.034233333,0.082066667,222.56,175.8867,6.6667,1.0567,46.6767,-120.1702361,39.82290725,1.967113234
id187,2,26.93333333,0.059866667,0.103666667,0.163533333,309.1667,276.69,15.6667,1.7567,32.4767,113.0382553,27.20556983,4.365638866
id188,2,16.93333333,0.035733333,0.0393,0.075033333,172.72,143.4467,8.3333,0.9767,29.2733,92.17518698,6.893007429,-19.2643264
id189,2,19.86666667,0.0683,0.0788,0.1471,311.7733,272.6267,15,1.8567,39.1500,109.8929757,22.91990583,14.47277157
id190,2,19.9,0.038666667,0.052466667,0.091133333,219.7433,181.7133,10,1.2367,38.0233,-99.11538476,1.015802868,-1.594478178
id191,2,24.03333333,0.076333333,0.087433333,0.163766667,514.98,471.5633,22.6667,2.9,43.4133,-122.8850456,39.06368503,-0.924890145
id192,2,12.7,0.044333333,0.038266667,0.0826,136.33,112.12,9.3333,0.7933,24.2100,102.8169627,16.69369159,-9.868149661
id193,2,17.26666667,0.0315,0.053033333,0.084533333,184.28,155.8067,9.6667,0.9833,28.4733,88.38526,5.958213327,-13.94616019
id194,2,18,0.0457,0.056,0.1017,474.5267,437.7833,25.3333,2.8667,36.7433,90.38413586,5.369166769,4.346834897
id195,2,15.33333333,0.047766667,0.045566667,0.093333333,322.78,293.3533,18.3333,1.97,29.4267,-125.3010865,39.53090886,-1.661942553
id196,2,24.76666667,0.072,0.058766667,0.130766667,302.22,268.7633,16,1.81,33.4600,120.9873416,26.12693297,-17.58358854
id197,2,21.46666667,0.044033333,0.054233333,0.098266667,318.8833,284.4533,15.3333,1.7967,34.4300,99.78350416,19.12295006,29.95650661
id198,2,22.4,0.1318,0.1659,0.2977,218.0833,180.6433,11,1.2133,37.4367,-128.7317153,47.46514897,1.765463965
id199,2,16.93333333,0.058233333,0.0603,0.118533333,337.5133,295.6833,16.6667,2.07,41.8267,-133.342664,52.21933882,0.175566003
id200,2,23.8,0.060133333,0.056933333,0.117066667,339.2067,304.3133,19,2.04,34.9000,112.4239364,24.65553755,-10.01502479
id201,2,28.96666667,0.094333333,0.130966667,0.2253,348.0433,300.06,17.3333,1.9633,47.9800,-51.19505922,-29.92270503,5.419566315
id202,2,25.5,0.086066667,0.087533333,0.1736,428.8967,386.5033,19.3333,2.5533,42.3933,-129.9822002,45.90921433,2.598046592
id203,2,20.53333333,0.065,0.0726,0.1376,300.54,261.7267,13.6667,1.8067,38.8133,53.41988037,-155.7528434,11.71259241
id204,2,20,0.047166667,0.066533333,0.1137,235.9667,199.4867,11.6667,1.3733,36.4833,-160.0253217,-151.9955152,40.10670828
id205,2,25.66666667,0.059933333,0.091266667,0.1512,354.5867,320.39,18.3333,2.0767,34.1967,90.50131096,6.188254556,-10.02880408
id206,2,22.63333333,0.058466667,0.0729,0.131366667,354.6867,314.95,17.6667,2.1567,39.7367,62.46742538,-10.7129872,-2.465584341
id207,2,22.46666667,0.072,0.264333333,0.336333333,330.6767,294.81,15.3333,1.84,35.8700,108.2537506,25.46285338,27.36358787
id208,2,22.7,0.009233333,0.010766667,0.02,244.99,205.54,11,1.4,39.4600,-13.61907393,-70.99042183,3.547288413
id209,2,23.9,0.0555,0.081833333,0.137333333,346.2967,317.42,19.6667,1.98,28.8767,-175.1244098,-157.6150111,52.67799982
id210,2,14.36666667,0.052033333,0.0538,0.105833333,242.9133,213.5633,15.3333,1.44,29.3467,74.01159391,-9.420658839,-39.56224877
id211,2,22.5,0.0586,0.06165,0.12025,304.065,270.795,16.5,1.73,33.2650,-106.5981507,26.86468742,-3.853291627
id212,2,18.96666667,0.044033333,0.056566667,0.1006,263.2667,231.49,14,1.5233,31.7800,62.72651208,-7.105455932,12.32145565
id213,2,17.3,0.054166667,0.061666667,0.115833333,249.85,211.8833,11.6667,1.4867,37.9667,-39.05281068,-65.4978048,-4.61145624
id214,2,23.26666667,0.050766667,0.073066667,0.123833333,326.6867,292.91,16.6667,1.95,33.7767,-13.19922298,-59.39005279,12.73032982
id215,2,26.36666667,0.079366667,0.0769,0.156266667,392.6333,352.7267,18.3333,2.2333,39.9067,-117.2999845,35.02515035,-0.939564301
id216,2,23.9,0.061633333,0.088433333,0.150066667,345.0633,303.3567,15,1.9133,41.7067,-145.7985907,64.38912231,2.144126312
id217,2,16.36666667,0.054633333,0.055733333,0.110366667,311.83,272.3333,18,1.8667,39.4967,-93.49165866,7.617180734,-4.095438173
id218,2,21.8,0.056033333,0.066233333,0.122266667,412.31,376.2933,24,2.5167,36.0167,94.12581995,10.09943619,14.13582553
id219,2,21.83333333,0.069466667,0.0821,0.151566667,285.1633,244.45,15,1.75,40.7133,-114.7629064,34.02992851,7.162210977
id220,2,19.36666667,0.060866667,0.065333333,0.1262,245.7367,208.24,10.6667,1.45,37.4900,126.0226022,33.37669439,3.955291293
id221,2,19.36666667,0.061733333,0.0747,0.136433333,255.57,217.06,11.3333,1.52,38.5067,-129.9974617,50.04949588,1.088889528
id222,2,19.3,0.07235,0.081,0.15335,403.195,365.48,20,2.415,37.7100,101.617274,20.02458776,10.22970805
id223,2,14.5,0.043466667,0.046233333,0.0897,188.1667,153.9633,9.3333,1.1167,34.2033,-111.8624389,21.42999941,-2.329736948
id224,2,9.3,0.050433333,0.027066667,0.0775,178.0133,153.7367,10,0.9367,24.2767,-126.3131034,46.0184384,-4.431719753
id225,2,22.53333333,0.055933333,0.0741,0.130033333,375.7367,332.6967,18,2.1933,43.0400,-154.9497762,78.51777513,2.492627031
id226,2,22.53333333,0.049633333,0.058966667,0.1086,280.5433,245.2167,14.3333,1.69,35.3267,145.350214,48.0000694,7.968013324
id227,2,16.06666667,0.034566667,0.046333333,0.0809,137.6767,110.4833,8,0.7733,27.1967,125.1570272,35.3400368,25.92220394
id228,2,9.266666667,0.033433333,0.031133333,0.064566667,58.17,46.0267,8.6667,0.32,12.1367,-39.50697363,-67.31375162,23.56101096
id229,2,16.66666667,0.0296,0.065766667,0.095366667,143.0167,112.41,7.6667,0.78,30.6067,102.8961082,16.60763739,-6.324077472
id230,2,17.83333333,0.042566667,0.0606,0.103166667,313.1567,273.3667,13.6667,1.74,39.7933,118.1011609,28.90785176,-1.131223431
id231,2,20.86666667,0.0511,0.059666667,0.110766667,231.4967,200.6267,12.6667,1.3467,30.8700,106.2770964,19.39092373,1.993837882
id232,2,22,0.058666667,0.056533333,0.1152,310.9867,277.8,16.6667,1.8367,33.1900,122.5253882,32.45102303,0.513376757
id233,2,17.2,0.077766667,0.065566667,0.143333333,272.4533,234.99,11.6667,1.59,37.4633,88.1762919,10.03557227,9.528695469
id234,2,22.63333333,0.041166667,0.057766667,0.098933333,239.0967,205.73,13.6667,1.4067,33.3633,91.06076426,5.83895887,-8.250843738
id235,2,14.8,0.052,0.038233333,0.090233333,272.5433,236.1733,12.6667,1.5867,36.3667,107.7694799,20.76302171,0.388677621
id236,2,25.3,0.061266667,0.076666667,0.137933333,389.4333,351.42,18.6667,2.2367,38.0167,82.95374904,1.610968151,6.993939363
id237,2,17.06666667,0.040266667,0.050166667,0.090433333,283.1967,244.3,14.3333,1.6133,38.8933,128.7699141,36.38102997,8.876027457
id238,2,18.46666667,0.062633333,0.0486,0.111233333,362.6167,331.4033,17.6667,1.8867,31.2067,129.8907229,35.30782364,-2.640424252
id239,2,17.53333333,0.071233333,0.047266667,0.1185,410.07,377.1167,23,2.4333,32.9600,117.5589604,25.60738539,-6.868771329
id240,2,25.66666667,0.06,0.061066667,0.121066667,243,208.7933,12.6667,1.4333,34.2067,102.8705692,13.38593414,-10.42112358
id241,2,14.2,0.0726,0.044833333,0.117433333,178.0867,138.9767,7.6667,1.0267,39.1100,-123.5318281,39.14950716,2.841342127
id242,2,26.96666667,0.0744,0.081133333,0.155533333,412.73,377.0767,22,2.47,35.6533,-32.78309487,-49.88060508,33.9862582
id243,2,20.1,0.061333333,0.061533333,0.122866667,430.52,399.8867,26.6667,2.58,30.6333,-112.5150253,26.59714978,0.594055913
id244,2,17.83333333,0.0445,0.0499,0.0944,187.16,150.8967,8,1.0433,36.2600,97.91463122,14.92043079,7.503058062
id245,2,18.96666667,0.052866667,0.0802,0.133066667,322.2367,285.3733,15.6667,1.86,36.8633,74.95902317,-5.897625955,-14.97317096
id246,2,20.13333333,0.050966667,0.044866667,0.095833333,260.3667,220.8333,11.6667,1.5467,39.5367,107.4594058,17.63657088,-11.04193808
id247,2,15.7,0.044,0.0364,0.0804,67.34,53.11,8,0.39,14.2200,105.0737111,18.89914035,11.00018733
id248,2,9.966666667,0.030733333,0.0413,0.072033333,30.2,20.3167,3.3333,0.1533,9.8867,-122.0932061,39.19569465,5.079538097
id249,2,19.53333333,0.041666667,0.075566667,0.117233333,257.61,228.8733,14.3333,1.4767,28.7367,-153.7360936,-152.9803835,39.75410263
id250,2,20.8,0.0582,0.057766667,0.115966667,299.3633,264.42,15.3333,1.7767,34.9467,-31.05204922,-71.41416044,27.72640739
id251,2,22.13333333,0.051566667,0.067533333,0.1191,269.5567,231.89,13,1.6033,37.6667,96.10188743,10.49313857,14.12165727
id252,2,25.23333333,0.060833333,0.087,0.147833333,370.3267,325.8967,15.3333,2.1633,44.4333,-42.74708776,-57.46894617,-6.882624435
id253,2,19.73333333,0.038633333,0.0616,0.100233333,322.3233,276.59,15,1.9333,45.7333,90.62535917,12.34020237,29.55749498
id254,2,0,0,0,0,,,,,,102.8918757,19.14294622,29.90004524
id255,2,24.1,0.0438,0.053166667,0.096966667,256.3533,223.9967,15.3333,1.55,32.3567,-122.969967,41.17401764,-1.898837097
id256,2,21.33333333,0.048866667,0.043366667,0.092233333,284.4,252.66,14.6667,1.64,31.7400,-114.7678524,31.34710165,-2.558687455
id257,2,8.733333333,0.0592,0.0416,0.1008,70.8867,59,8.2067,0.35,11.8833,102.7086926,-181.9776086,48.68181723
id258,2,23.45,0.0772,0.09645,0.17365,512.25,471.345,25.5,3.11,40.9050,-115.292215,27.23966255,0.852118181
id259,2,22.7,0.061066667,0.062333333,0.1234,311.0933,275.8767,15,1.7967,35.2133,-121.5018503,40.23069365,6.062289605
id260,2,21.1,0.060366667,0.071133333,0.1315,309.49,268.0633,15.3333,1.8233,41.4233,103.3965537,17.77344902,-4.832839392
id261,2,25.36666667,0.049266667,0.076,0.125266667,295.6267,253.0333,15,1.78,42.5933,122.0948685,28.12003972,-4.46595133
id262,2,21.46666667,0.0649,0.073,0.1379,331.2133,289.6,15.3333,1.8767,41.6133,111.7861309,24.60697055,3.847288087
id263,2,13.93333333,0.044633333,0.037933333,0.082566667,102.2833,76.17,7.6667,0.5533,26.1133,104.4734332,17.28240078,-12.81944737
id264,2,0,0,0,0,,,,,,105.0005004,16.66015029,-11.57442209
id265,2,17.4,0.078033333,0.057966667,0.136,311.8867,274.79,15.3333,1.8133,37.0933,103.1484488,17.26739772,14.215515
id266,2,22.6,0.059633333,0.060666667,0.1203,284.7867,252.0667,16,1.6567,32.7233,100.9867004,19.22506641,14.1461699
id267,2,11.03333333,0.0433,0.038233333,0.081533333,125.7933,97.9033,7,0.6867,27.8867,116.9760969,27.09035997,-5.785233871
id268,2,15.3,0.04965,0.0328,0.08245,89.87,69.515,5,0.4,20.3600,112.6719272,26.66451005,21.83579892
id269,2,19.73333333,0.050366667,0.059333333,0.1097,284.0967,245.3367,13.3333,1.5133,38.7600,-153.0503259,-150.5701476,36.16264128
id270,2,21.63333333,0.0431,0.056066667,0.099166667,243.2533,204.8733,11.3333,1.2967,38.3800,102.4907332,18.21239599,16.06048419
id271,2,18.66666667,0.050166667,0.0469,0.097066667,173.1433,140.6933,8.6667,1.0267,32.4433,-164.2734472,-155.1247781,40.99505827
id272,2,8.55,0.0296,0.0298,0.0594,107.75,78.415,6,0.62,29.3350,97.59371127,12.53350796,4.730321526
id273,2,22.56666667,0.078166667,0.080733333,0.1589,383.61,345.9633,21,2.2367,37.6400,115.9393867,22.83751142,-3.719505618
id274,2,19.03333333,0.038333333,0.068333333,0.106666667,243.0233,210.4633,14,1.4733,32.5567,93.16361672,8.089912851,-14.57443664
id275,2,23.7,0.075233333,0.059066667,0.1343,422.2067,393.7733,25.6667,2.5333,28.4333,104.8415136,17.22409184,-7.87823117
id276,2,11.5,0.033066667,0.040366667,0.073433333,102.2733,80.34,5.6667,0.5067,21.9333,57.04686165,-19.68583828,-9.476665614
id277,2,24.03333333,0.055166667,0.075366667,0.130533333,430.97,397.8633,26.3333,2.5733,33.1033,-109.6558418,25.25248777,-0.99667095
id278,2,26.26666667,0.0626,0.0965,0.1591,295.5133,264.2233,19.6667,1.77,31.2900,-77.06390905,-10.07634249,-2.344315621
id279,2,17.86666667,0.049,0.069933333,0.118933333,250.15,215.99,12,1.41,34.1633,117.2284065,26.48323348,-4.495381867
id280,2,16.43333333,0.0569,0.0588,0.1157,128.74,102.6567,7.6667,0.7533,26.0800,21.65645776,-135.2628544,-1.012075009
id281,2,28.6,0.069666667,0.0906,0.160266667,396.0867,360.0967,21,2.3533,35.9900,-97.12675438,4.612934949,-0.211411997
id282,2,21,0.080266667,0.071733333,0.152,283.4933,251.9933,18.3333,1.6933,31.5033,-75.65714857,-20.6884103,-0.384614982
id283,2,21.96666667,0.0673,0.050966667,0.118266667,353.5233,313.2667,16.6667,2.1367,40.2500,-80.82344787,-17.22447134,0.523366067
id284,2,23.13333333,0.0535,0.0644,0.1179,396.8967,365.1233,22.3333,2.4,31.7700,-108.8415197,22.30118871,-6.684757427
id285,2,19.85,0.0487,0.06405,0.11275,356.845,319.935,18,2.155,36.9150,-70.41173992,-27.04577893,1.634874249
id286,2,19.53333333,0.024,0.0403,0.0643,166.7067,137.17,10.6667,0.9467,29.5333,-155.8302377,-149.7972114,41.52781275
id287,2,0,0,0,0,,,,,,-72.45101411,-82.08642867,34.7832236
id288,2,8.45,0.0342,0.02845,0.06265,88.59,68.155,6.5,0.54,20.4350,114.9097078,27.44732907,3.87524736
id289,2,20.93333333,0.050633333,0.057233333,0.107866667,201.57,170.4267,11,1.2133,31.1433,104.525222,16.17476847,0.907975722
id290,2,20.83333333,0.0448,0.055333333,0.100133333,264.6833,224.5933,10.6667,1.2967,40.0933,-31.40409,-65.78805282,-8.175643367
id291,2,22.5,0.054766667,0.054233333,0.109,281.0567,244.1833,13.3333,1.5633,36.8700,90.15849284,9.144176592,9.063849965
id292,2,24.03333333,0.058833333,0.078666667,0.1375,443.3633,402.72,21.3333,2.66,40.6400,-48.6238313,-76.83356929,21.23064104
id293,2,14.33333333,0.044766667,0.039866667,0.084633333,84.6167,63.9033,4.3333,0.3433,20.7167,93.57984315,7.814565608,-13.31240172
id294,2,23.8,0.035533333,0.0521,0.087633333,247.8533,213.0933,12.6667,1.4533,34.7600,-105.8420157,19.96312882,-0.726578228
id295,2,20.2,0.0422,0.061333333,0.103533333,347.3467,313.0433,19.6667,2.1033,34.3033,-71.52446473,-88.21901741,9.27974071
id296,2,23.75,0.04855,0.04935,0.0979,281.345,250.11,12.5,1.45,31.2400,102.0774048,16.22586194,16.02885647
id297,2,22.43333333,0.040266667,0.062033333,0.1023,189.5467,156.8133,8.6667,1.0367,32.7367,-111.8232092,26.37811039,0.464127106
id298,2,22.6,0.0429,0.068033333,0.110933333,371.4667,334.06,18,2.25,37.4100,94.39205886,7.670541658,-12.52006456
id299,2,16.63333333,0.034533333,0.036666667,0.0712,306.89,270.6467,14.3333,1.8,36.2400,-122.9136777,34.39634507,-0.596778059
id300,2,20.23333333,0.0537,0.057366667,0.111066667,397.6933,360.94,19.3333,2.3467,36.7533,101.0632156,-180.3710419,56.6800715
id301,2,24.4,0.065233333,0.0826,0.147833333,874.3867,831.1933,36.6667,4.6267,43.1900,-102.7418043,14.00553532,-4.420086235
id302,2,25.26666667,0.045733333,0.059433333,0.105166667,393.51,355.3667,20,2.3833,38.1367,106.5766713,22.16162159,5.497207471
id1,3,19,0.067766667,0.0617,0.129466667,428.6033,391.35,21.3333,2.6033,37.2567,81.4366373,-0.590871986,-11.04108176
id2,3,21.2,0.0669,0.053833333,0.120733333,491.8133,451.5833,22,2.63,40.2300,-9.246702018,-109.3874535,-218.8621706
id3,3,21.96666667,0.063733333,0.069166667,0.1329,507.2,463.78,25,3.0567,43.4200,-119.0016567,37.62886856,-0.297353268
id4,3,21.76666667,0.0618,0.075566667,0.137366667,450.8533,416.7133,25.3333,2.73,34.1367,-6.816772199,-107.5214242,-218.2587866
id5,3,20.83333333,0.057966667,0.069433333,0.1274,483.6067,441.9633,23,2.8967,41.6500,-9.218280576,-108.9132943,-217.7196346
id6,3,19.1,0.0909,0.0579,0.1488,476.88,439.3,25,2.89,37.5800,-7.655380892,-108.58107,-219.6117136
id7,3,24.36666667,0.0685,0.070166667,0.138666667,381.6233,345.2267,18.6667,2.2967,36.3933,-8.050098216,-108.4169036,-219.3779707
id8,3,21.75,0.03385,0.05465,0.0885,352.225,318.365,18,2.1,33.8600,-7.540029569,-108.1617363,-219.1981653
id9,3,22.93333333,0.072566667,0.086466667,0.159033333,394.8233,360.3833,23,2.4033,34.4400,-8.927393692,-108.7856638,-218.4180279
id10,3,16.56666667,0.0606,0.056366667,0.116966667,170.4033,139.39,9,1.0033,31.0133,117.6686074,26.63520411,14.92685228
id11,3,23.73333333,0.074833333,0.090133333,0.164966667,392.33,358.22,19.6667,2.3367,34.1100,69.90676268,-9.375035802,-28.73998418
id12,3,20.9,0.0643,0.066333333,0.130633333,314.2967,282.0133,16.3333,1.7967,32.2900,-92.72551946,4.154440912,2.560185874
id13,3,24.86666667,0.0677,0.080133333,0.147833333,348.2933,312.9033,17,2.0833,35.3900,-2.846195441,-115.3883811,-4.269405365
id14,3,22.26666667,0.066433333,0.065833333,0.132266667,327.6167,287.15,15,1.9367,40.4700,-146.6796149,67.47296853,3.658408631
id15,3,18.16666667,0.057766667,0.0531,0.110866667,273.8167,233.9267,13,1.5967,39.8900,-126.3340659,45.48656913,-1.579051394
id16,3,17.73333333,0.070933333,0.056033333,0.126966667,285.54,246.52,11,1.5267,39.0200,-129.8411428,46.98903544,1.62960824
id17,3,21.8,0.070933333,0.0757,0.146633333,539.7733,504.5233,25.3333,3.2733,35.2500,-130.2651664,49.07518572,1.948875815
id18,3,20.56666667,0.062266667,0.058866667,0.121133333,383.6667,347.2367,22,2.3233,36.4300,-102.1129744,2.524503117,-7.740691109
id19,3,21.8,0.0706,0.066366667,0.136966667,444.3467,407.07,21.5667,2.7067,37.2767,106.2279562,18.50697634,7.84938628
id20,3,25.4,0.0929,0.071133333,0.164033333,460.8667,422.3433,22.5933,2.7767,38.5267,-92.51841284,-7.574141307,-2.933671771
id21,3,25.33333333,0.081866667,0.089033333,0.1709,478.95,443.4233,25,2.9433,35.5300,92.97000802,-180.1990131,38.64243883
id22,3,21.8,0.0527,0.072466667,0.125166667,285.5833,253.7967,14.3333,1.6733,31.7867,-117.7304915,33.82266569,1.312191191
id23,3,20.26666667,0.0619,0.074666667,0.136566667,351.5833,306.02,16,2.0867,45.5667,-100.619565,4.423873205,-3.772939248
id24,3,22.46666667,0.0703,0.084333333,0.154633333,465.7767,426.9733,23,2.8033,38.8067,89.84487696,-169.9550957,50.11732677
id25,3,22.36666667,0.0473,0.053833333,0.101133333,272.1367,236.6167,15,1.66,35.5167,101.1316547,16.2553625,6.996624914
id26,3,21.93333333,0.0647,0.0609,0.1256,249.45,212.78,13.3333,1.4867,36.6700,110.0431536,22.92480641,13.55738431
id27,3,23.53333333,0.083066667,0.074166667,0.157233333,507.8133,474.7033,26.6667,3.09,33.1067,72.09121765,-2.49642561,39.6028342
id28,3,21.03333333,0.049033333,0.042066667,0.0911,280.1733,245.7333,13,1.69,34.4400,123.0219373,31.54552504,-1.840874128
id29,3,15.26666667,0.053466667,0.068233333,0.1217,327.2933,290.5967,16.3333,1.96,36.6967,112.4098396,25.18318467,2.930604955
id30,3,23.36666667,0.0469,0.0549,0.1018,187.8667,153.42,9,1.1,34.4467,116.2649247,23.6284722,-9.823781079
id31,3,24.7,0.065433333,0.062266667,0.1277,423.57,387.9367,21.6667,2.5533,35.6333,-116.4952244,31.58367799,-1.608277684
id32,3,18.3,0.079566667,0.0731,0.152666667,472.2033,429.1533,21.3333,2.7967,43.0467,-128.5888424,44.60423085,-0.177221143
id33,3,23.7,0.0453,0.071733333,0.117033333,222.47,187.2833,9.3333,1.23,35.1900,-129.8275649,45.28087945,0.811261578
id34,3,22,0.0504,0.068033333,0.118433333,310.23,270.13,14.3333,1.8833,40.1000,83.03893897,3.820950341,19.23339468
id35,3,18.9,0.0562,0.0593,0.1155,224.93,194.035,11.5,1.33,30.8900,-133.3480474,47.79578036,-1.882199454
id36,3,22.73333333,0.063433333,0.058933333,0.122366667,284.9333,239.23,12.6667,1.7167,45.7000,-126.483223,46.72048213,1.83982067
id37,3,25.3,0.087366667,0.083033333,0.1704,566.8733,522.7133,26,3.46,44.1500,-127.3116752,44.3708751,1.697059097
id38,3,20.43333333,0.074466667,0.0607,0.135166667,363.7033,331.3,18,2.1933,32.4033,-120.7336535,36.54954471,3.20568413
id39,3,17.73333333,0.044133333,0.053733333,0.097866667,209.9967,177.0833,10.3333,1.2433,32.9067,103.4508139,15.84056002,-11.56609984
id40,3,24.83333333,0.072833333,0.0787,0.151533333,425.94,389.16,21.6667,2.62,36.7767,104.1162262,19.2843891,19.03603404
id41,3,22.33333333,0.052266667,0.071333333,0.1236,387.8733,351.14,19,2.3733,36.7300,115.5633873,20.11827661,-20.34670908
id42,3,18.36666667,0.061833333,0.058966667,0.1208,299.9767,263.4067,13.6667,1.83,36.5700,107.7223998,23.30407202,19.55253945
id43,3,9.7,0.0292,0.0194,0.0486,85.985,63.125,6.5,0.505,22.8600,116.2162024,27.2342183,10.70453506
id44,3,13.53333333,0.038733333,0.024866667,0.0636,116.2667,97.3567,8.9667,0.6633,18.9100,-62.7433325,-13.45787029,30.27473807
id45,3,16.2,0.0332,0.031866667,0.065066667,245.1367,211.1533,14.3333,1.5033,33.9833,-59.86890155,-17.05902312,29.73174606
id46,3,12.23333333,0.023033333,0.034966667,0.058,69.9933,44.3467,4.6667,0.42,25.6433,111.1593142,20.73803787,-8.920039307
id47,3,22.63333333,0.093566667,0.068666667,0.162233333,351.5867,313.9967,17.3333,2.1333,37.5900,92.55448729,13.58417744,7.000766566
id48,3,17,0.025233333,0.0635,0.088733333,295.6333,259.3933,14.6667,1.7533,36.2400,84.78675741,2.376072636,-21.43402205
id49,3,22.23333333,0.0851,0.0852,0.1703,417.4867,379.5133,19,2.5033,37.9733,-129.0283884,47.73181444,-2.388078309
id50,3,25.96666667,0.070166667,0.113166667,0.183333333,463.5833,423.91,23,2.8167,39.6800,111.9546722,24.12857471,3.126443084
id51,3,22.03333333,0.0578,0.072333333,0.130133333,351.6467,313.17,16.3333,2.14,38.4767,96.58953699,13.27624054,-8.310487149
id52,3,18.16666667,0.0309,0.0419,0.0728,218.39,192.0067,11.7267,1.3,26.3833,80.98395318,0.923621858,-14.33310034
