rs,Rep,SHL,RDW,SDW,TPB,TRL,TSRL,TNR,NWA,PRL,PC1,PC2,PC3
id301,1,13.96666667,0.039,0.041766667,0.080766667,134.5233,116.2733,10.6667,0.7533,18.2533,-102.7418043,14.00553532,-4.420086235
id302,1,11.83333333,0.042866667,0.039866667,0.082733333,79.9867,65.9833,6,0.39,14.0000,106.5766713,22.16162159,5.497207471
id1,2,14.53333333,0.0292,0.030933333,0.060133333,122.0767,100.29,10.3333,0.6833,21.7833,81.4366373,-0.590871986,-11.04108176
id2,2,20.43333333,0.0586,0.062333333,0.120933333,503.62,467.06,28.6667,3.01,36.5567,-9.246702018,-109.3874535,-218.8621706
id3,2,22.6,0.0668,0.064166667,0.130966667,438.56,404.9633,23,2.5667,33.5967,-119.0016567,37.62886856,-0.297353268
id4,2,21.63333333,0.053533333,0.064933333,0.118466667,513.8433,476.28,25,3.0433,37.5667,-6.816772199,-107.5214242,-218.2587866
id5,2,22.86666667,0.071633333,0.075433333,0.147066667,653.5867,613.6067,31,3.8833,39.9733,-9.218280576,-108.9132943,-217.7196346
id6,2,7.45,0.04695,0.01525,0.0622,101.905,83.595,9,0.52,18.3100,-7.655380892,-108.58107,-219.6117136
id7,2,22.8,0.0499,0.0696,0.1195,256.7067,219.4167,12.3333,1.5067,37.2900,-8.050098216,-108.4169036,-219.3779707
id8,2,24.73333333,0.045233333,0.064366667,0.1096,356.2967,320.7,17.3333,2.1333,35.5967,-7.540029569,-108.1617363,-219.1981653
id9,2,24.23333333,0.056333333,0.0695,0.125833333,282.4833,252.3,18.3333,1.71,30.1833,-8.927393692,-108.7856638,-218.4180279
id10,2,23.7,0.048233333,0.0645,0.112733333,214.2267,182.8333,9,1.1167,31.3967,117.6686074,26.63520411,14.92685228
id11,2,23.4,0.0502,0.0646,0.1148,113.06,103.46,18,0.57,9.6000,69.90676268,-9.375035802,-28.73998418
id12,2,13.5,0.047766667,0.040666667,0.088433333,89.8933,78.8233,8.6667,0.38,11.0733,-92.72551946,4.154440912,2.560185874
id13,2,11.75,0.06275,0.10335,0.1661,176.92,139.6367,7.6667,0.97,37.2767,-2.846195441,-115.3883811,-4.269405365
id14,2,22.03333333,0.041133333,0.064133333,0.105266667,246.8533,209.8567,12.6667,1.43,36.9900,-146.6796149,67.47296853,3.658408631
id15,2,19.66666667,0.084766667,0.069933333,0.1547,338.54,307.21,20,2.01,31.3267,-126.3340659,45.48656913,-1.579051394
id16,2,20.46666667,0.0717,0.088633333,0.160333333,330.9833,296.3333,18,1.9867,34.6500,-129.8411428,46.98903544,1.62960824
id17,2,20.1,0.047366667,0.063566667,0.110933333,323.6967,296.33,17.8867,1.9033,27.3667,-130.2651664,49.07518572,1.948875815
id18,2,23.43333333,0.037933333,0.0697,0.107633333,419.33,384,24.3333,2.45,35.3233,-102.1129744,2.524503117,-7.740691109
id19,2,17.33333333,0.043733333,0.0495,0.093233333,268.7,232.3667,12,1.6,36.3300,106.2279562,18.50697634,7.84938628
id20,2,22.6,0.078233333,0.072366667,0.1506,240.94,208.89,12.6667,1.4733,32.0500,-92.51841284,-7.574141307,-2.933671771
id21,2,23.3,0.059266667,0.0617,0.120966667,230.3233,200.8333,13.6667,1.36,29.4933,92.97000802,-180.1990131,38.64243883
id22,2,19.33333333,0.0566,0.074166667,0.130766667,418.86,381.29,18.3333,2.4933,37.5700,-117.7304915,33.82266569,1.312191191
id23,2,15,0.06045,0.06935,0.1298,329.665,291.56,16.5,1.935,38.1050,-100.619565,4.423873205,-3.772939248
id24,2,25.1,0.056533333,0.084466667,0.141,236.9333,201.3067,13,1.42,35.6267,89.84487696,-169.9550957,50.11732677
id25,2,21.36666667,0.050633333,0.051,0.101633333,157.6367,135.52,11.3333,0.9133,22.1133,101.1316547,16.2553625,6.996624914
